date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,daily_covid_deaths
mai.-28,,,2585,,,,,,2776,,,
mai.-29,,,,,,,,2701,,,,
mai.-30,,2479,,,,,2682,,,,,
mai.-31,2502,,,,,,,,,,,
jun.-1,,,,,,2595,,,,,,
jun.-2,,,,,2499,,,,,,,
jun.-3,,,,2577,,,,,,2736,,
jun.-4,,,2558,,,,,,2679,,,
jun.-5,,,,,,,,2624,,,,
jun.-6,,2489,,,,,2587,,,,,
jun.-7,2372,,,,,,,,,,,
jun.-8,,,,,,2680,,,,,,
jun.-9,,,,,2428,,,,,,,
jun.-10,,,,2498,,,,,,2650,,
jun.-11,,,2574,,,,,,2557,,,
jun.-12,,,,,,,,2643,,,,
jun.-13,,2413,,,,,2620,,,,,
jun.-14,2535,,,,,,,,,,,
jun.-15,,,,,,2559,,,,,,
jun.-16,,,,,2442,,,,,,,
jun.-17,,,,2539,,,,,,2694,,
jun.-18,,,2561,,,,,,2601,,,
jun.-19,,,,,,,,2627,,,,
jun.-20,,2535,,,,,2597,,,,,
jun.-21,2580,,,,,,,,,,,
jun.-22,,,,,,2547,,,,,,
jun.-23,,,,,2483,,,,,,,
jun.-24,,,,2493,,,,,,2835,,
jun.-25,,,2639,,,,,,2619,,,
jun.-26,,,,,,,,2691,,,,
jun.-27,,2625,,,,,2609,,,,,
jun.-28,2653,,,,,,,,,,,
jun.-29,,,,,,2848,,,,,,
jun.-30,,,,,2653,,,,,,,
jul.-1,,,,2533,,,,,,2725,,
jul.-2,,,2450,,,,,,2726,,,
jul.-3,,,,,,,,2697,,,,
jul.-4,,2513,,,,,2693,,,,,
jul.-5,2499,,,,,,,,,,,
jul.-6,,,,,,2587,,,,,,
jul.-7,,,,,2569,,,,,,,
jul.-8,,,,2461,,,,,,2760,,
jul.-9,,,2422,,,,,,2671,,,
jul.-10,,,,,,,,2520,,,,
jul.-11,,2361,,,,,2627,,,,,
jul.-12,2443,,,,,,,,,,,
jul.-13,,,,,,2567,,,,,,
jul.-14,,,,,2809,,,,,,,
jul.-15,,,,2488,,,,,,2584,,
jul.-16,,,2559,,,,,,2704,,,
jul.-17,,,,,,,,2674,,,,
jul.-18,,2431,,,,,2753,,,,,
jul.-19,2314,,,,,,,,,,,
jul.-20,,,,,,2548,,,,,,
jul.-21,,,,,2659,,,,,,,
